order_id,customer_id,order_date,category,price_per_unit,quantity,total_amount,discount_rate,final_amount,payment_method,order_status,review_score,city,delivery_days,review_missing_flag,delivery_days_missing_flag
ORD003483,CUST00040,2023-12-22,Books,134803.06,2,269606.12,0.25,202204.59,Debit Card,Shipped,5.0,Semarang,,0,1
ORD009388,CUST04154,2021-05-19,Home & Living,1347554.83,1,1347554.83,0.5,673777.42,Credit Card,Delivered,4.0,Surabaya,14.0,1,0
ORD004270,CUST02441,2021-01-18,Electronics,60631.69,1,60631.69,0.0,60631.69,Credit Card,Delivered,4.0,Bandung,5.0,1,0
ORD017130,CUST03536,2021-03-04,Electronics,205553.42,2,411106.84,0.5,205553.42,COD,Shipped,4.0,Surabaya,,0,1
ORD018789,CUST03077,2021-12-28,Beauty,328544.9,4,1314179.6,0.0,985634.7,Bank Transfer,Delivered,4.0,Medan,3.0,0,0
ORD009659,CUST02872,2021-10-01,Toys,127652.65,2,255305.3,0.0,255305.3,Debit Card,Delivered,5.0,Jakarta,12.0,0,0
ORD017317,CUST00759,2022-02-11,Home & Living,30078.9,2,60157.8,0.0,60157.8,COD,Processing,2.0,Bogor,,0,1
ORD011956,CUST02557,2022-07-21,Home & Living,236493.13,5,1182465.65,0.1,1064219.08,E-Wallet,Delivered,1.0,Unknown,11.0,0,0
ORD014648,CUST01367,2022-05-04,Fashion,201220.91,1,201220.91,0.05,191159.86,Bank Transfer,Delivered,4.0,Surabaya,3.0,0,0
ORD003475,CUST03842,2021-04-15,Fashion,193321.89,1,193321.89,0.3,135325.32,Credit Card,Shipped,5.0,Jakarta,,0,1
ORD014913,CUST02330,2022-05-05,Books,97070.21,1,97070.21,0.3,67949.15,Bank Transfer,Delivered,5.0,Palembang,10.0,0,0
ORD012305,CUST03520,2021-07-27,Electronics,1156755.18,1,1156755.18,0.1,1041079.66,Bank Transfer,Shipped,4.0,Bandung,,0,1
ORD010793,CUST04310,2022-03-28,Beauty,50671.33,1,50671.33,0.25,38003.5,Bank Transfer,Shipped,1.0,Palembang,,0,1
ORD007536,CUST02635,2023-10-31,Electronics,244613.46,2,489226.92,0.15,415842.88,Credit Card,Returned,4.0,Surabaya,,1,1
ORD004194,CUST01922,2021-04-10,Books,287909.63,1,287909.63,0.3,201536.74,Bank Transfer,Shipped,3.0,Surabaya,,0,1
ORD016601,CUST01736,2021-02-03,Health,1781113.32,1,1781113.32,0.0,1781113.32,Bank Transfer,Cancelled,4.0,Depok,,1,1
ORD010884,CUST01277,2022-04-14,Books,16068.58,1,16068.58,0.1,14461.72,Credit Card,Delivered,5.0,Depok,12.0,0,0
ORD015365,CUST03543,2023-12-06,Electronics,6981618.89,2,13963237.78,0.0,13963237.78,Credit Card,Delivered,1.0,Makassar,12.0,0,0
ORD009085,CUST03651,2021-04-23,Home & Living,193974.57,100,581923.71,0.0,581923.71,COD,Delivered,5.0,Makassar,13.0,0,0
ORD006092,CUST03589,2023-04-21,Home & Living,109755.99,10,1097559.9,0.0,1097559.9,Credit Card,Returned,4.0,Semarang,,0,1
ORD007629,CUST03627,2023-06-18,Automotive,3211911.21,1,3211911.21,0.0,3211911.21,Bank Transfer,Delivered,3.0,Unknown,5.0,0,0
ORD018383,CUST00508,2021-08-27,Beauty,128668.8,1,128668.8,0.0,128668.8,Credit Card,Shipped,5.0,Bandung,,0,1
ORD006391,CUST00542,2021-05-21,Books,127541.59,3,382624.77,0.5,191312.39,Debit Card,Processing,3.0,Bogor,,0,1
ORD014904,CUST04147,2023-10-13,Books,73979.81,1,73979.81,0.25,55484.86,COD,Shipped,3.0,Medan,,0,1
ORD017737,CUST04975,2021-10-25,Books,191733.45,5,958667.25,0.25,719000.44,Credit Card,Delivered,5.0,Medan,4.0,0,0
ORD009061,CUST00649,2022-04-19,F&B,162077.09,1,162077.09,0.5,81038.54,COD,Shipped,4.0,Makassar,,0,1
ORD006416,CUST02205,2023-01-13,F&B,247015.97,1,247015.97,0.0,247015.97,Bank Transfer,Delivered,5.0,Tangerang,6.0,0,0
ORD015621,CUST03570,2023-01-08,Automotive,436127.53,1,436127.53,0.1,392514.78,E-Wallet,Delivered,3.0,Depok,7.0,0,1
ORD015085,CUST04663,2022-05-03,Sports,132929.42,1,132929.42,0.05,126282.95,E-Wallet,Delivered,5.0,Medan,7.0,0,1
ORD002639,CUST04383,2022-11-24,Beauty,373742.69,2,747485.38,0.0,747485.38,Credit Card,Delivered,3.0,Surabaya,7.0,0,1
ORD007418,CUST03648,2023-11-27,Beauty,459319.7,1,459319.7,0.15,390421.74,E-Wallet,Delivered,5.0,Palembang,4.0,0,0
ORD009515,CUST04884,2022-11-09,Books,33723.0,1,33723.0,0.0,33723.0,Bank Transfer,Shipped,5.0,Jakarta,,0,1
ORD006115,CUST00578,2023-09-04,Electronics,147411.57,2,294823.14,0.0,294823.14,Debit Card,Delivered,4.0,Semarang,14.0,1,0
ORD007592,CUST04438,2022-05-28,Electronics,565838.08,2,1131676.16,0.0,1131676.16,COD,Delivered,5.0,Jakarta,7.0,0,1
ORD008230,CUST03137,2022-02-25,Home & Living,1181502.16,2,2363004.32,0.0,2363004.32,Debit Card,Delivered,5.0,Medan,7.0,0,1
ORD010873,CUST02916,2023-08-04,Books,2410694.93,2,4821389.86,0.0,4821389.86,Credit Card,Shipped,4.0,Depok,,0,1
ORD019249,CUST01304,2023-02-15,Automotive,158910.43,1,158910.43,0.1,143019.39,Bank Transfer,Delivered,5.0,Tangerang,4.0,0,0
ORD011789,CUST01516,2022-01-06,Books,369867.74,1,369867.74,0.2,295894.19,Bank Transfer,Delivered,3.0,Medan,13.0,0,0
ORD015273,CUST01191,2021-05-27,Home & Living,31057.08,1,31057.08,0.5,15528.54,Credit Card,Delivered,5.0,Medan,13.0,0,0
